24-06-12 16:44:22.788 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
24-06-12 16:44:25.270 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.5+9-LTS-191"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='naveen', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3a631899, com.mongodb.Jep395RecordCodecProvider@2d1611a7, com.mongodb.KotlinCodecProvider@6b42a171]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.arybrtd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-kwr7eq-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
24-06-12 16:44:25.361 [cluster-ClusterId{value='66698311c66ee80540d5f0ea', description='null'}-srv-cluster0.arybrtd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dvb5xtn-shard-00-01.arybrtd.mongodb.net:27017 to client view of cluster 
24-06-12 16:44:25.403 [cluster-ClusterId{value='66698311c66ee80540d5f0ea', description='null'}-srv-cluster0.arybrtd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017 to client view of cluster 
24-06-12 16:44:25.406 [cluster-ClusterId{value='66698311c66ee80540d5f0ea', description='null'}-srv-cluster0.arybrtd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-dvb5xtn-shard-00-00.arybrtd.mongodb.net:27017 to client view of cluster 
24-06-12 16:44:25.503 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729 
24-06-12 16:44:26.016 [cluster-ClusterId{value='66698311c66ee80540d5f0ea', description='null'}-ac-dvb5xtn-shard-00-01.arybrtd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-dvb5xtn-shard-00-01.arybrtd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=308251000, setName='atlas-kwr7eq-shard-0', canonicalAddress=ac-dvb5xtn-shard-00-01.arybrtd.mongodb.net:27017, hosts=[ac-dvb5xtn-shard-00-00.arybrtd.mongodb.net:27017, ac-dvb5xtn-shard-00-01.arybrtd.mongodb.net:27017, ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=43, topologyVersion=TopologyVersion{processId=66697c90a75d93d2cec9aa90, counter=5}, lastWriteDate=Wed Jun 12 16:44:26 IST 2024, lastUpdateTimeNanos=10304988132800} 
24-06-12 16:44:26.016 [cluster-ClusterId{value='66698311c66ee80540d5f0ea', description='null'}-ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=308124900, setName='atlas-kwr7eq-shard-0', canonicalAddress=ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017, hosts=[ac-dvb5xtn-shard-00-00.arybrtd.mongodb.net:27017, ac-dvb5xtn-shard-00-01.arybrtd.mongodb.net:27017, ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000041, setVersion=43, topologyVersion=TopologyVersion{processId=66697a69416b5a2d4a7514d0, counter=9}, lastWriteDate=Wed Jun 12 16:44:26 IST 2024, lastUpdateTimeNanos=10304988132800} 
24-06-12 16:44:26.023 [cluster-ClusterId{value='66698311c66ee80540d5f0ea', description='null'}-ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017 with max election id 7fffffff0000000000000041 and max set version 43 
24-06-12 16:44:26.272 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4af052f8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@27426ba9, org.springframework.security.web.context.SecurityContextHolderFilter@28ac0f2d, org.springframework.security.web.header.HeaderWriterFilter@73350173, org.springframework.web.filter.CorsFilter@628fbc20, org.springframework.security.web.authentication.logout.LogoutFilter@60212e35, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6e207ff0, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5e194517, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@5616f798, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@c23bffb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@dbcb8ec, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@65419c88, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1e390830, org.springframework.security.web.access.ExceptionTranslationFilter@2e9878a, org.springframework.security.web.access.intercept.AuthorizationFilter@2c1d61b8] 
24-06-12 16:44:26.472 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"] 
24-06-12 16:44:26.511 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '' 
24-06-12 16:44:26.520 [restartedMain] INFO  c.n.BusBooking.BusBookingApplication - Started BusBookingApplication in 4.23 seconds (process running for 6.307) 
24-06-12 16:44:26.803 [cluster-ClusterId{value='66698311c66ee80540d5f0ea', description='null'}-ac-dvb5xtn-shard-00-00.arybrtd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-dvb5xtn-shard-00-00.arybrtd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=104952500, setName='atlas-kwr7eq-shard-0', canonicalAddress=ac-dvb5xtn-shard-00-00.arybrtd.mongodb.net:27017, hosts=[ac-dvb5xtn-shard-00-00.arybrtd.mongodb.net:27017, ac-dvb5xtn-shard-00-01.arybrtd.mongodb.net:27017, ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-dvb5xtn-shard-00-02.arybrtd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=43, topologyVersion=TopologyVersion{processId=66697b490e68b6a2fbed4e44, counter=5}, lastWriteDate=Wed Jun 12 16:44:27 IST 2024, lastUpdateTimeNanos=10305777083700} 
24-06-12 16:44:34.158 [http-nio-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
24-06-12 16:44:34.158 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
24-06-12 16:44:34.159 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms 
